t_s,target_deg_s,angle_deg,velocity_deg_s,armed,fault,foc_valid,need_calibration,diag_raw
0.018863,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.071653,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.123993,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.177159,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.229957,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.283076,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.335092,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.388049,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.441032,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.494259,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.547108,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.599333,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.652331,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.705548,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.758536,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.811651,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.864461,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.917572,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
0.969540,0.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
1.024672,10.0,0.013000000000000001,0.169,False,None,True,False,FB0000021D000000
1.077817,10.0,0.0,-0.012,True,None,True,False,FB0000021D000002
1.129943,10.0,0.063,1.268,True,None,True,False,FB0000021D000002
1.180960,10.0,0.262,3.972,True,None,True,False,FB0000021D000002
1.233790,10.0,0.486,4.479,True,None,True,False,FB0000021D000002
1.286556,10.0,0.6970000000000001,4.226,True,None,True,False,FB0000021D000002
1.339503,10.0,0.908,4.226,True,None,True,False,FB0000021D000002
