t_s,cycle,phase,target_deg_s,angle_deg,velocity_deg_s,diag_raw,foc_valid,fault_code,need_calibration,armed
0.038165,1,settle,0.0,-63.809,,,,,,
0.038205,1,settle,0.0,-63.809,0.169,,,,,
0.038218,1,settle,0.0,-63.809,0.169,FB0000021D000000,True,0,False,False
0.088156,1,settle,0.0,-63.818,0.169,FB0000021D000000,True,0,False,False
0.088196,1,settle,0.0,-63.818,-0.169,FB0000021D000000,True,0,False,False
0.138065,1,settle,0.0,-63.818,-0.169,FB0000021D000000,True,0,False,False
0.138091,1,settle,0.0,-63.818,0.000,FB0000021D000000,True,0,False,False
0.188141,1,settle,0.0,-63.814,0.000,FB0000021D000000,True,0,False,False
0.188183,1,settle,0.0,-63.814,0.084,FB0000021D000000,True,0,False,False
0.238089,1,settle,0.0,-63.814,0.084,FB0000021D000000,True,0,False,False
0.238129,1,settle,0.0,-63.814,0.000,FB0000021D000000,True,0,False,False
0.288191,1,settle,0.0,-63.822,0.000,FB0000021D000000,True,0,False,False
0.288274,1,settle,0.0,-63.822,-0.169,FB0000021D000000,True,0,False,False
0.338288,1,settle,0.0,-63.809,-0.169,FB0000021D000000,True,0,False,False
0.338367,1,settle,0.0,-63.809,0.254,FB0000021D000000,True,0,False,False
0.388254,1,settle,0.0,-63.822,0.254,FB0000021D000000,True,0,False,False
0.388329,1,settle,0.0,-63.822,-0.254,FB0000021D000000,True,0,False,False
0.438324,1,settle,0.0,-63.818,-0.254,FB0000021D000000,True,0,False,False
0.438452,1,settle,0.0,-63.818,0.085,FB0000021D000000,True,0,False,False
0.488108,1,settle,0.0,-63.831,0.085,FB0000021D000000,True,0,False,False
0.488187,1,settle,0.0,-63.831,-0.254,FB0000021D000000,True,0,False,False
4.776121,1,foc,,-63.831,-0.254,FB0000021D000000,True,0,False,False
4.776252,1,foc,,0.000,-0.254,FB0000021D000000,True,0,False,False
4.776280,1,foc,,0.000,0.009,FB0000021D000000,True,0,False,False
4.824989,1,foc,,-0.004,0.009,FB0000021D000000,True,0,False,False
4.825070,1,foc,,-0.004,-0.084,FB0000021D000000,True,0,False,False
4.875234,1,foc,,0.000,-0.084,FB0000021D000000,True,0,False,False
4.875324,1,foc,,0.000,0.084,FB0000021D000000,True,0,False,False
4.925086,1,foc,,-0.004,0.084,FB0000021D000000,True,0,False,False
4.925140,1,foc,,-0.004,-0.084,FB0000021D000000,True,0,False,False
4.974967,1,foc,,-0.008,-0.084,FB0000021D000000,True,0,False,False
4.975002,1,foc,,-0.008,-0.084,FB0000021D000000,True,0,False,False
5.024866,1,foc,,-0.004,-0.084,FB0000021D000000,True,0,False,False
5.024905,1,foc,,-0.004,0.084,FB0000021D000000,True,0,False,False
5.074950,1,foc,,-0.013,0.084,FB0000021D000000,True,0,False,False
5.074985,1,foc,,-0.013,-0.169,FB0000021D000000,True,0,False,False
5.125041,1,foc,,0.004,-0.169,FB0000021D000000,True,0,False,False
5.125079,1,foc,,0.004,0.338,FB0000021D000000,True,0,False,False
5.174877,1,foc,,-0.004,0.338,FB0000021D000000,True,0,False,False
5.174899,1,foc,,-0.004,-0.169,FB0000021D000000,True,0,False,False
5.224921,1,foc,,0.000,-0.169,FB0000021D000000,True,0,False,False
5.224943,1,foc,,0.000,0.084,FB0000021D000000,True,0,False,False
5.274931,1,foc,,0.000,0.084,FB0000021D000000,True,0,False,False
5.275221,1,foc,,-0.008,0.084,FB0000021D000000,True,0,False,False
5.275247,1,foc,,-0.008,-0.169,FB0000021D000000,True,0,False,False
5.324914,1,foc,,0.000,-0.169,FB0000021D000000,True,0,False,False
5.324936,1,foc,,0.000,0.169,FB0000021D000000,True,0,False,False
5.375040,1,foc,,-0.004,0.169,FB0000021D000000,True,0,False,False
5.375075,1,foc,,-0.004,-0.084,FB0000021D000000,True,0,False,False
5.425005,1,foc,,0.004,-0.084,FB0000021D000000,True,0,False,False
5.425026,1,foc,,0.004,0.169,FB0000021D000000,True,0,False,False
5.474916,1,foc,,-0.004,0.169,FB0000021D000000,True,0,False,False
5.474952,1,foc,,-0.004,-0.169,FB0000021D000000,True,0,False,False
5.524971,1,foc,,0.000,-0.169,FB0000021D000000,True,0,False,False
5.524993,1,foc,,0.000,0.084,FB0000021D000000,True,0,False,False
5.575020,1,foc,,0.004,0.084,FB0000021D000000,True,0,False,False
5.575045,1,foc,,0.004,0.084,FB0000021D000000,True,0,False,False
5.625017,1,foc,,0.004,0.084,FB0000021D000000,True,0,False,False
5.625054,1,foc,,0.004,0.000,FB0000021D000000,True,0,False,False
5.675006,1,foc,,0.000,0.000,FB0000021D000000,True,0,False,False
