t_s,can_id,angle_deg,velocity_deg_s,armed,fault_code,foc_valid,output_cal_valid
0.041046,406,-0.004,,,,,
0.041086,416,-0.004,-0.338,,,,
0.092108,406,0.000,-0.338,,,,
0.092140,416,0.000,0.085,,,,
0.143285,406,-0.004,0.085,,,,
0.143318,416,-0.004,-0.085,,,,
0.194666,406,0.000,-0.085,,,,
0.194689,416,0.000,0.085,,,,
0.241048,406,0.008,0.085,,,,
0.241071,416,0.008,0.169,,,,
0.246288,5F6,0.008,0.169,0,0,1,1
0.246323,426,0.008,0.169,0,0,1,1
0.246340,436,0.008,0.169,0,0,1,1
0.292613,406,0.000,0.169,0,0,1,1
0.292641,416,0.000,-0.169,0,0,1,1
0.344078,406,-0.004,-0.169,0,0,1,1
0.344105,416,-0.004,-0.085,0,0,1,1
0.395872,406,0.000,-0.085,0,0,1,1
0.395907,416,0.000,0.085,0,0,1,1
0.442002,406,0.008,0.085,0,0,1,1
0.442057,416,0.008,0.169,0,0,1,1
0.493204,406,0.000,0.169,0,0,1,1
0.493236,416,0.000,-0.169,0,0,1,1
0.544525,406,0.004,-0.169,0,0,1,1
0.544551,416,0.004,0.084,0,0,1,1
0.595626,406,0.004,0.084,0,0,1,1
0.595664,416,0.004,0.000,0,0,1,1
0.641807,406,0.008,0.000,0,0,1,1
0.641849,416,0.008,0.085,0,0,1,1
0.693069,406,0.004,0.085,0,0,1,1
0.693101,416,0.004,-0.085,0,0,1,1
1.755330,5F6,0.004,-0.085,1,0,1,1
1.755381,426,0.004,-0.085,1,0,1,1
1.755398,436,0.004,-0.085,1,0,1,1
1.755405,406,-0.004,-0.085,1,0,1,1
1.755415,416,-0.004,-0.008,1,0,1,1
1.806199,406,0.076,-0.008,1,0,1,1
1.806214,416,0.076,1.606,1,0,1,1
1.851928,406,0.186,1.606,1,0,1,1
1.851951,416,0.186,2.197,1,0,1,1
1.902828,406,0.330,2.197,1,0,1,1
1.902840,416,0.330,2.873,1,0,1,1
1.953762,406,0.516,2.873,1,0,1,1
1.953796,416,0.516,3.718,1,0,1,1
2.005117,406,0.706,3.718,1,0,1,1
2.005149,416,0.706,3.803,1,0,1,1
2.056777,406,0.925,3.803,1,0,1,1
2.056854,416,0.925,4.395,1,0,1,1
2.102808,406,1.141,4.395,1,0,1,1
2.102856,416,1.141,4.310,1,0,1,1
2.153996,406,1.365,4.310,1,0,1,1
2.154019,416,1.365,4.479,1,0,1,1
2.204848,406,1.589,4.479,1,0,1,1
2.204864,416,1.589,4.479,1,0,1,1
2.255639,406,1.817,4.479,1,0,1,1
2.255663,416,1.817,4.564,1,0,1,1
2.255672,5F6,1.817,4.564,1,0,1,1
2.255687,426,1.817,4.564,1,0,1,1
2.255698,436,1.817,4.564,1,0,1,1
2.306644,406,2.037,4.564,1,0,1,1
2.306668,416,2.037,4.395,1,0,1,1
2.352637,406,2.261,4.395,1,0,1,1
2.352696,416,2.261,4.479,1,0,1,1
2.403504,406,2.476,4.479,1,0,1,1
2.403523,416,2.476,4.310,1,0,1,1
2.454409,406,2.709,4.310,1,0,1,1
2.454443,416,2.709,4.648,1,0,1,1
2.505644,406,2.941,4.648,1,0,1,1
2.505805,416,2.941,4.648,1,0,1,1
2.557053,406,3.178,4.648,1,0,1,1
2.557122,416,3.178,4.733,1,0,1,1
2.603135,406,3.380,4.733,1,0,1,1
2.603207,416,3.380,4.057,1,0,1,1
2.654327,406,3.592,4.057,1,0,1,1
2.654381,416,3.592,4.226,1,0,1,1
2.705489,406,3.811,4.226,1,0,1,1
2.705564,416,3.811,4.395,1,0,1,1
2.756880,406,4.006,4.395,1,0,1,1
2.756940,416,4.006,3.887,1,0,1,1
2.756954,5F6,4.006,3.887,1,0,1,1
2.757010,426,4.006,3.887,1,0,1,1
2.757034,436,4.006,3.887,1,0,1,1
2.803110,406,4.183,3.887,1,0,1,1
2.803189,416,4.183,3.549,1,0,1,1
2.854308,406,4.348,3.549,1,0,1,1
2.854365,416,4.348,3.296,1,0,1,1
2.905505,406,4.500,3.296,1,0,1,1
2.905578,416,4.500,3.042,1,0,1,1
2.956667,406,4.618,3.042,1,0,1,1
2.956733,416,4.618,2.366,1,0,1,1
3.002781,406,4.690,2.366,1,0,1,1
3.002838,416,4.690,1.437,1,0,1,1
3.053827,406,4.728,1.437,1,0,1,1
3.053893,416,4.728,0.761,1,0,1,1
3.105071,406,4.741,0.761,1,0,1,1
3.105133,416,4.741,0.254,1,0,1,1
3.156556,406,4.720,0.254,1,0,1,1
3.156624,416,4.720,-0.423,1,0,1,1
3.202682,406,4.720,-0.423,1,0,1,1
3.202770,416,4.720,0.000,1,0,1,1
3.253957,406,4.716,0.000,1,0,1,1
3.254014,416,4.716,-0.084,1,0,1,1
3.254031,5F6,4.716,-0.084,1,0,1,1
3.254061,426,4.716,-0.084,1,0,1,1
3.254080,436,4.716,-0.084,1,0,1,1
3.305241,406,4.724,-0.084,1,0,1,1
3.305308,416,4.724,0.169,1,0,1,1
3.356388,406,4.724,0.169,1,0,1,1
3.356440,416,4.724,0.000,1,0,1,1
3.402455,406,4.720,0.000,1,0,1,1
3.402532,416,4.720,-0.085,1,0,1,1
3.453828,406,4.728,-0.085,1,0,1,1
3.453908,416,4.728,0.169,1,0,1,1
3.505067,406,4.716,0.169,1,0,1,1
3.505181,416,4.716,-0.254,1,0,1,1
3.556436,406,4.720,-0.254,1,0,1,1
3.556510,416,4.720,0.084,1,0,1,1
3.602776,406,4.720,0.084,1,0,1,1
3.602849,416,4.720,0.000,1,0,1,1
3.653976,406,4.711,0.000,1,0,1,1
3.654035,416,4.711,-0.169,1,0,1,1
3.705140,406,4.720,-0.169,1,0,1,1
3.705199,416,4.720,0.169,1,0,1,1
3.756338,5F6,4.720,0.169,1,0,1,1
3.756483,426,4.720,0.169,1,0,1,1
3.756514,436,4.720,0.169,1,0,1,1
3.756529,406,4.720,0.169,1,0,1,1
3.756551,416,4.720,0.000,1,0,1,1
3.802788,406,4.720,0.000,1,0,1,1
3.802862,416,4.720,0.000,1,0,1,1
3.853987,406,4.711,0.000,1,0,1,1
3.854045,416,4.711,-0.169,1,0,1,1
3.905176,406,4.720,-0.169,1,0,1,1
3.905229,416,4.720,0.169,1,0,1,1
3.956575,406,4.686,0.169,1,0,1,1
3.956631,416,4.686,-0.676,1,0,1,1
4.002671,406,4.614,-0.676,1,0,1,1
4.002762,416,4.614,-1.437,1,0,1,1
4.053876,406,4.521,-1.437,1,0,1,1
4.053920,416,4.521,-1.859,1,0,1,1
4.105011,406,4.390,-1.859,1,0,1,1
4.105076,416,4.390,-2.620,1,0,1,1
4.156227,406,4.226,-2.620,1,0,1,1
4.156313,416,4.226,-3.296,1,0,1,1
4.202349,406,4.052,-3.296,1,0,1,1
4.202424,416,4.052,-3.465,1,0,1,1
