t_s,target_deg_s,angle_deg,velocity_deg_s,armed,fault,diag_raw
0.019359,0.0,-0.004,0.254,False,None,FB0000021D000000
0.071583,0.0,-0.004,0.254,False,None,FB0000021D000000
0.124740,0.0,-0.004,0.254,False,None,FB0000021D000000
0.177787,0.0,-0.004,0.254,False,None,FB0000021D000000
0.230418,0.0,-0.004,0.254,False,None,FB0000021D000000
0.282403,0.0,-0.004,0.254,False,None,FB0000021D000000
0.335261,0.0,-0.004,0.254,False,None,FB0000021D000000
0.387454,0.0,-0.004,0.254,False,None,FB0000021D000000
0.440410,0.0,-0.004,0.254,False,None,FB0000021D000000
0.493505,0.0,-0.004,0.254,False,None,FB0000021D000000
0.546392,0.0,-0.004,0.254,False,None,FB0000021D000000
0.599556,0.0,-0.004,0.254,False,None,FB0000021D000000
0.652715,0.0,-0.004,0.254,False,None,FB0000021D000000
0.708423,10.0,-0.004,0.254,False,None,FB0000021D000000
0.761379,10.0,-0.004,0.254,False,None,FB0000021D000000
0.814388,10.0,-0.004,0.254,False,None,FB0000021D000000
0.866442,10.0,-0.004,0.254,False,None,FB0000021D000000
0.918535,10.0,-0.004,0.254,False,None,FB0000021D000000
0.971818,10.0,-0.004,0.254,False,None,FB0000021D000000
1.023783,10.0,-0.004,0.254,False,None,FB0000021D000000
1.076744,10.0,-0.008,-0.004,True,None,FB0000021D000002
1.128076,10.0,0.025,0.676,True,None,FB0000021D000002
1.179006,10.0,0.182,3.1270000000000002,True,None,FB0000021D000002
1.231911,10.0,0.38,3.972,True,None,FB0000021D000002
1.284924,10.0,0.638,5.155,True,None,FB0000021D000002
1.337611,10.0,0.972,6.676,True,None,FB0000021D000002
1.389653,10.0,1.327,7.099,True,None,FB0000021D000002
1.442384,10.0,1.694,7.352,True,None,FB0000021D000002
1.495507,10.0,2.109,8.282,True,None,FB0000021D000002
1.548213,10.0,2.493,7.69,True,None,FB0000021D000002
1.601101,10.0,2.903,8.197000000000001,True,None,FB0000021D000002
1.653927,10.0,3.266,7.268,True,None,FB0000021D000002
1.706783,10.0,3.638,7.437,True,None,FB0000021D000002
1.759000,10.0,3.972,6.676,True,None,FB0000021D000002
1.812070,10.0,4.238,5.324,True,None,FB0000021D000002
1.864272,10.0,4.445,4.141,True,None,FB0000021D000002
1.917283,10.0,4.585,2.789,True,None,FB0000021D000002
1.970390,10.0,4.673,0.338,True,None,FB0000021D000002
2.022992,10.0,4.707,0.676,True,None,FB0000021D000002
2.076882,10.0,4.716,0.169,True,None,FB0000021D000002
2.129837,10.0,4.716,0.0,True,None,FB0000021D000002
2.182735,10.0,4.707,-0.169,True,None,FB0000021D000002
2.236878,10.0,4.711,0.085,True,None,FB0000021D000002
2.291442,10.0,4.707,-0.085,True,None,FB0000021D000002
2.344513,10.0,4.716,0.169,True,None,FB0000021D000002
2.398347,10.0,4.72,0.084,True,None,FB0000021D000002
2.451480,10.0,4.716,-0.084,True,None,FB0000021D000002
2.505373,10.0,4.72,0.084,True,None,FB0000021D000002
2.558462,10.0,4.724,0.084,True,None,FB0000021D000002
2.612434,10.0,4.724,0.0,True,None,FB0000021D000002
2.665340,10.0,4.724,0.0,True,None,FB0000021D000002
2.717224,10.0,4.724,0.0,True,None,FB0000021D000002
2.770559,10.0,4.728,0.169,True,None,FB0000021D000002
2.823727,10.0,4.724,-0.085,True,None,FB0000021D000002
2.877838,10.0,4.716,-0.169,True,None,FB0000021D000002
2.931087,10.0,4.72,0.084,True,None,FB0000021D000002
2.985230,10.0,4.724,0.084,True,None,FB0000021D000002
3.039641,10.0,4.7330000000000005,0.169,True,None,FB0000021D000002
3.092633,10.0,4.724,-0.169,True,None,FB0000021D000002
3.146448,10.0,4.728,0.085,True,None,FB0000021D000002
3.199433,10.0,4.741,0.253,True,None,FB0000021D000002
3.255488,0.0,4.741,0.0,True,None,FB0000021D000002
3.308751,0.0,4.741,0.0,True,None,FB0000021D000002
3.361184,0.0,4.724,-0.338,True,None,FB0000021D000002
3.413490,0.0,4.724,0.0,True,None,FB0000021D000002
3.466777,0.0,4.724,0.0,True,None,FB0000021D000002
3.519392,0.0,4.72,-0.084,True,None,FB0000021D000002
3.573164,0.0,4.7330000000000005,0.254,True,None,FB0000021D000002
3.626393,0.0,4.724,-0.169,True,None,FB0000021D000002
3.678511,0.0,4.724,0.0,True,None,FB0000021D000002
3.730264,0.0,4.7330000000000005,0.169,True,None,FB0000021D000002
3.782453,0.0,4.728,-0.084,True,None,FB0000021D000002
3.835645,0.0,4.72,-0.169,True,None,FB0000021D000002
3.887882,0.0,4.7330000000000005,0.254,True,None,FB0000021D000002
3.940941,0.0,4.724,-0.169,True,None,FB0000021D000002
3.993560,0.0,4.72,-0.084,True,None,FB0000021D000002
4.049368,-10.0,4.72,0.0,True,None,FB0000021D000002
4.103360,-10.0,4.724,0.084,True,None,FB0000021D000002
4.156431,-10.0,4.707,-0.338,True,None,FB0000021D000002
4.208764,-10.0,4.69,-0.338,True,None,FB0000021D000002
4.261014,-10.0,4.699,0.169,True,None,FB0000021D000002
4.314069,-10.0,4.69,-0.169,True,None,FB0000021D000002
4.367606,-10.0,4.686,-0.084,True,None,FB0000021D000002
4.420223,-10.0,4.678,-0.084,True,None,FB0000021D000002
4.474742,-10.0,4.678,0.0,True,None,FB0000021D000002
4.528636,-10.0,4.6690000000000005,-0.169,True,None,FB0000021D000002
4.581772,-10.0,4.665,-0.084,True,None,FB0000021D000002
4.635204,-10.0,4.6610000000000005,-0.084,True,None,FB0000021D000002
4.689260,-10.0,4.652,-0.169,True,None,FB0000021D000002
4.742601,-10.0,4.627,-0.507,True,None,FB0000021D000002
4.796549,-10.0,4.623,-0.084,True,None,FB0000021D000002
4.850133,-10.0,4.602,-0.423,True,None,FB0000021D000002
4.903145,-10.0,4.58,-0.423,True,None,FB0000021D000002
4.957016,-10.0,4.542,-0.761,True,None,FB0000021D000002
5.010754,-10.0,4.492,-1.014,True,None,FB0000021D000002
5.064085,-10.0,4.4030000000000005,-1.7750000000000001,True,None,FB0000021D000002
5.116804,-10.0,4.3020000000000005,-2.028,True,None,FB0000021D000002
5.170911,-10.0,3.997,-3.0420000000000003,True,None,FB0000021D000002
5.223847,-10.0,3.8160000000000003,-3.634,True,None,FB0000021D000002
5.277342,-10.0,3.617,-3.972,True,None,FB0000021D000002
5.331437,-10.0,3.3930000000000002,-4.479,True,None,FB0000021D000002
5.385149,-10.0,3.161,-4.648,True,None,FB0000021D000002
5.438518,-10.0,2.899,-5.24,True,None,FB0000021D000002
5.491750,-10.0,2.632,-5.324,True,None,FB0000021D000002
5.543945,-10.0,2.366,-5.324,True,None,FB0000021D000002
5.598204,-10.0,2.109,-5.155,True,None,FB0000021D000002
5.651595,-10.0,1.838,-5.409,True,None,FB0000021D000002
5.705944,-10.0,1.572,-5.324,True,None,FB0000021D000002
5.759304,-10.0,1.314,-5.155,True,None,FB0000021D000002
5.811989,-10.0,1.044,-5.409,True,None,FB0000021D000002
5.865743,-10.0,0.803,-4.817,True,None,FB0000021D000002
5.918835,-10.0,0.583,-4.3950000000000005,True,None,FB0000021D000002
5.971466,-10.0,0.241,-2.704,True,None,FB0000021D000002
6.023897,-10.0,0.14400000000000002,-1.944,True,None,FB0000021D000002
6.077269,-10.0,0.08,-1.268,True,None,FB0000021D000002
6.130056,-10.0,0.063,-0.338,True,None,FB0000021D000002
6.182714,-10.0,0.046,-0.338,True,None,FB0000021D000002
6.235548,-10.0,0.03,-0.338,True,None,FB0000021D000002
6.288051,-10.0,0.017,-0.254,True,None,FB0000021D000002
6.340645,-10.0,0.017,0.0,True,None,FB0000021D000002
6.393846,-10.0,0.013000000000000001,-0.084,True,None,FB0000021D000002
6.447433,-10.0,0.008,-0.084,True,None,FB0000021D000002
6.500195,-10.0,0.008,0.0,True,None,FB0000021D000002
6.555422,0.0,0.0,-0.169,True,None,FB0000021D000002
6.608356,0.0,-0.004,-0.084,True,None,FB0000021D000002
6.661391,0.0,0.004,0.169,True,None,FB0000021D000002
6.715016,0.0,0.034,0.591,True,None,FB0000021D000002
6.767942,0.0,0.025,-0.169,True,None,FB0000021D000002
6.820920,0.0,0.03,0.0,True,None,FB0000021D000002
6.873776,0.0,0.034,0.084,True,None,FB0000021D000002
6.926485,0.0,0.03,-0.084,True,None,FB0000021D000002
6.979695,0.0,0.021,-0.169,True,None,FB0000021D000002
7.032103,0.0,0.025,0.084,True,None,FB0000021D000002
7.084727,0.0,0.034,0.169,True,None,FB0000021D000002
7.137372,0.0,0.03,-0.084,True,None,FB0000021D000002
7.190192,0.0,0.03,0.0,True,None,FB0000021D000002
7.247239,0.0,0.03,0.0,True,None,FB0000021D000002
