t_s,target_deg_s,angle_deg,velocity_deg_s,armed,fault,diag_raw
0.019578,0.0,0.021,0.169,False,None,FB0000021D000000
0.072487,0.0,0.021,0.169,False,None,FB0000021D000000
0.125128,0.0,0.021,0.169,False,None,FB0000021D000000
0.178134,0.0,0.021,0.169,False,None,FB0000021D000000
0.231837,0.0,0.021,0.169,False,None,FB0000021D000000
0.285502,0.0,0.021,0.169,False,None,FB0000021D000000
0.338901,0.0,0.021,0.169,False,None,FB0000021D000000
0.391105,0.0,0.021,0.169,False,None,FB0000021D000000
0.444163,0.0,0.021,0.169,False,None,FB0000021D000000
0.497279,0.0,0.021,0.169,False,None,FB0000021D000000
0.549310,0.0,0.021,0.169,False,None,FB0000021D000000
0.602460,0.0,0.021,0.169,False,None,FB0000021D000000
0.654767,0.0,0.021,0.169,False,None,FB0000021D000000
0.707955,0.0,0.021,0.169,False,None,FB0000021D000000
0.761039,0.0,0.021,0.169,False,None,FB0000021D000000
0.813912,0.0,0.021,0.169,False,None,FB0000021D000000
0.866887,0.0,0.021,0.169,False,None,FB0000021D000000
0.919072,0.0,0.021,0.169,False,None,FB0000021D000000
0.971918,0.0,0.021,0.169,False,None,FB0000021D000000
1.027175,10.0,0.021,0.169,False,None,FB0000021D000000
1.080198,10.0,0.025,0.004,True,None,FB0000021D000002
1.131379,10.0,0.055,0.592,True,None,FB0000021D000002
1.182624,10.0,0.177,2.451,True,None,FB0000021D000002
1.235419,10.0,0.321,2.873,True,None,FB0000021D000002
1.288185,10.0,0.448,2.535,True,None,FB0000021D000002
1.340992,10.0,0.532,1.69,True,None,FB0000021D000002
1.393963,10.0,0.592,1.183,True,None,FB0000021D000002
1.447069,10.0,0.638,0.93,True,None,FB0000021D000002
1.499785,10.0,0.676,0.761,True,None,FB0000021D000002
1.553057,10.0,0.6930000000000001,0.338,True,None,FB0000021D000002
1.605857,10.0,0.727,0.676,True,None,FB0000021D000002
1.658744,10.0,0.756,0.592,True,None,FB0000021D000002
1.710923,10.0,0.765,0.169,True,None,FB0000021D000002
1.763792,10.0,0.786,0.423,True,None,FB0000021D000002
1.815397,10.0,0.803,0.338,True,None,FB0000021D000002
1.868501,10.0,0.8200000000000001,0.338,True,None,FB0000021D000002
1.921472,10.0,0.8240000000000001,0.084,True,None,FB0000021D000002
1.973482,10.0,0.8280000000000001,0.084,True,None,FB0000021D000002
2.026414,10.0,0.845,0.338,True,None,FB0000021D000002
2.079169,10.0,0.858,0.254,True,None,FB0000021D000002
2.132072,10.0,0.849,-0.169,True,None,FB0000021D000002
2.184998,10.0,0.87,0.423,True,None,FB0000021D000002
2.237818,10.0,0.862,-0.169,True,None,FB0000021D000002
2.290900,10.0,0.858,-0.084,True,None,FB0000021D000002
2.343699,10.0,0.875,0.338,True,None,FB0000021D000002
2.396753,10.0,0.87,-0.084,True,None,FB0000021D000002
2.449724,10.0,0.883,0.254,True,None,FB0000021D000002
2.502220,10.0,0.887,0.084,True,None,FB0000021D000002
2.555161,10.0,0.9,0.254,True,None,FB0000021D000002
2.606975,10.0,0.875,-0.507,True,None,FB0000021D000002
2.660138,10.0,0.879,0.084,True,None,FB0000021D000002
2.712619,10.0,0.883,0.085,True,None,FB0000021D000002
2.765142,10.0,0.883,0.0,True,None,FB0000021D000002
2.818314,10.0,0.896,0.253,True,None,FB0000021D000002
2.871533,10.0,0.879,-0.423,True,None,FB0000021D000002
2.924351,10.0,0.892,0.254,True,None,FB0000021D000002
2.977162,10.0,0.9,0.169,True,None,FB0000021D000002
3.029883,10.0,0.892,-0.169,True,None,FB0000021D000002
3.082681,10.0,0.896,0.084,True,None,FB0000021D000002
3.135508,10.0,0.908,0.254,True,None,FB0000021D000002
3.188355,10.0,0.913,0.084,True,None,FB0000021D000002
3.241358,10.0,0.9,-0.253,True,None,FB0000021D000002
3.295082,10.0,0.913,0.253,True,None,FB0000021D000002
3.348556,10.0,0.908,-0.084,True,None,FB0000021D000002
3.400977,10.0,0.913,0.084,True,None,FB0000021D000002
3.455098,10.0,0.908,-0.084,True,None,FB0000021D000002
3.509803,10.0,0.917,0.169,True,None,FB0000021D000002
3.562724,10.0,0.913,-0.085,True,None,FB0000021D000002
3.614004,10.0,0.904,-0.169,True,None,FB0000021D000002
3.667750,10.0,0.921,0.338,True,None,FB0000021D000002
3.720395,10.0,0.913,-0.169,True,None,FB0000021D000002
3.772407,10.0,0.917,0.085,True,None,FB0000021D000002
3.826739,10.0,0.917,0.0,True,None,FB0000021D000002
3.880810,10.0,0.913,-0.085,True,None,FB0000021D000002
3.934730,10.0,0.917,0.085,True,None,FB0000021D000002
3.987683,10.0,0.925,0.169,True,None,FB0000021D000002
4.044873,0.0,0.93,0.084,True,None,FB0000021D000002
4.098579,0.0,0.921,-0.169,True,None,FB0000021D000002
4.152128,0.0,0.93,0.169,True,None,FB0000021D000002
4.205144,0.0,0.917,-0.253,True,None,FB0000021D000002
4.259416,0.0,0.917,0.0,True,None,FB0000021D000002
4.313165,0.0,0.908,-0.169,True,None,FB0000021D000002
4.365879,0.0,0.913,0.084,True,None,FB0000021D000002
4.419838,0.0,0.913,0.084,True,None,FB0000021D000002
4.472892,0.0,0.908,-0.084,True,None,FB0000021D000002
4.526582,0.0,0.913,-0.084,True,None,FB0000021D000002
4.579826,0.0,0.913,0.0,True,None,FB0000021D000002
4.632417,0.0,0.93,0.338,True,None,FB0000021D000002
4.686304,0.0,0.917,-0.253,True,None,FB0000021D000002
4.739268,0.0,0.908,-0.169,True,None,FB0000021D000002
4.793219,0.0,0.917,0.169,True,None,FB0000021D000002
4.846393,0.0,0.913,-0.085,True,None,FB0000021D000002
4.899578,0.0,0.908,-0.084,True,None,FB0000021D000002
4.953574,0.0,0.921,0.254,True,None,FB0000021D000002
5.009097,-10.0,0.913,-0.169,True,None,FB0000021D000002
5.061977,-10.0,0.921,0.169,True,None,FB0000021D000002
5.115626,-10.0,0.9,-0.423,True,None,FB0000021D000002
5.168473,-10.0,0.875,-0.254,True,None,FB0000021D000002
5.222767,-10.0,0.875,0.0,True,None,FB0000021D000002
