t_s,target_deg_s,angle_deg,velocity_deg_s,armed,fault,diag_raw
0.018709,0.0,0.004,0.084,False,None,FB0000021D000000
0.071579,0.0,0.004,0.084,False,None,FB0000021D000000
0.124579,0.0,0.004,0.084,False,None,FB0000021D000000
0.177760,0.0,0.004,0.084,False,None,FB0000021D000000
0.230811,0.0,0.004,0.084,False,None,FB0000021D000000
0.283710,0.0,0.004,0.084,False,None,FB0000021D000000
0.336589,0.0,0.004,0.084,False,None,FB0000021D000000
0.389377,0.0,0.004,0.084,False,None,FB0000021D000000
0.442138,0.0,0.004,0.084,False,None,FB0000021D000000
0.494805,0.0,0.004,0.084,False,None,FB0000021D000000
0.547273,0.0,0.004,0.084,False,None,FB0000021D000000
0.599982,0.0,0.004,0.084,False,None,FB0000021D000000
0.652225,0.0,0.004,0.084,False,None,FB0000021D000000
0.705145,0.0,0.004,0.084,False,None,FB0000021D000000
0.758176,0.0,0.004,0.084,False,None,FB0000021D000000
0.810928,0.0,0.004,0.084,False,None,FB0000021D000000
0.864186,0.0,0.004,0.084,False,None,FB0000021D000000
0.916311,0.0,0.004,0.084,False,None,FB0000021D000000
0.969397,0.0,0.004,0.084,False,None,FB0000021D000000
1.025082,10.0,0.004,0.084,False,None,FB0000021D000000
1.078346,10.0,0.004,0.0,True,None,FB0000021D000002
1.131027,10.0,0.08,1.5210000000000001,True,None,FB0000021D000002
1.183510,10.0,0.258,3.549,True,None,FB0000021D000002
1.236633,10.0,0.47700000000000004,4.3950000000000005,True,None,FB0000021D000002
1.289826,10.0,0.685,4.141,True,None,FB0000021D000002
1.342902,10.0,0.921,4.7330000000000005,True,None,FB0000021D000002
1.395921,10.0,1.137,4.3100000000000005,True,None,FB0000021D000002
1.448533,10.0,1.348,4.226,True,None,FB0000021D000002
1.501510,10.0,1.559,4.225,True,None,FB0000021D000002
1.553756,10.0,1.7750000000000001,4.3100000000000005,True,None,FB0000021D000002
1.606777,10.0,1.948,3.465,True,None,FB0000021D000002
1.659352,10.0,2.121,3.465,True,None,FB0000021D000002
1.712798,10.0,2.307,3.718,True,None,FB0000021D000002
1.765643,10.0,2.476,3.38,True,None,FB0000021D000002
1.818742,10.0,2.755,2.704,True,None,FB0000021D000002
1.872145,10.0,2.886,2.62,True,None,FB0000021D000002
1.924306,10.0,3.0,2.282,True,None,FB0000021D000002
1.977237,10.0,3.08,1.606,True,None,FB0000021D000002
2.030340,10.0,3.118,0.761,True,None,FB0000021D000002
2.084239,10.0,3.169,1.014,True,None,FB0000021D000002
2.136560,10.0,3.1990000000000003,0.592,True,None,FB0000021D000002
2.189882,10.0,3.224,0.507,True,None,FB0000021D000002
2.244097,10.0,3.241,0.338,True,None,FB0000021D000002
2.297066,10.0,3.254,0.253,True,None,FB0000021D000002
2.351244,10.0,3.271,0.338,True,None,FB0000021D000002
2.404984,10.0,3.287,0.338,True,None,FB0000021D000002
2.458032,10.0,3.3000000000000003,0.254,True,None,FB0000021D000002
2.511929,10.0,3.3040000000000003,0.084,True,None,FB0000021D000002
2.565700,10.0,3.313,0.169,True,None,FB0000021D000002
2.619124,10.0,3.325,0.0,True,None,FB0000021D000002
2.673079,10.0,3.347,0.423,True,None,FB0000021D000002
2.726570,10.0,3.355,0.169,True,None,FB0000021D000002
2.780803,10.0,3.347,-0.169,True,None,FB0000021D000002
2.834288,10.0,3.355,0.169,True,None,FB0000021D000002
2.887626,10.0,3.368,0.254,True,None,FB0000021D000002
2.940483,10.0,3.368,0.0,True,None,FB0000021D000002
2.992794,10.0,3.364,-0.084,True,None,FB0000021D000002
3.046836,10.0,3.368,0.084,True,None,FB0000021D000002
3.100111,10.0,3.38,0.254,True,None,FB0000021D000002
3.153903,10.0,3.372,-0.169,True,None,FB0000021D000002
3.207152,10.0,3.376,0.085,True,None,FB0000021D000002
3.260647,10.0,3.38,0.084,True,None,FB0000021D000002
3.313917,10.0,3.38,0.0,True,None,FB0000021D000002
3.367688,10.0,3.3970000000000002,0.338,True,None,FB0000021D000002
3.421056,10.0,3.3970000000000002,0.254,True,None,FB0000021D000002
3.474823,10.0,3.402,0.084,True,None,FB0000021D000002
3.528074,10.0,3.402,0.0,True,None,FB0000021D000002
3.580611,10.0,3.41,0.169,True,None,FB0000021D000002
3.634378,10.0,3.402,-0.169,True,None,FB0000021D000002
3.688070,10.0,3.41,0.169,True,None,FB0000021D000002
3.741769,10.0,3.406,-0.085,True,None,FB0000021D000002
3.795688,10.0,3.406,0.0,True,None,FB0000021D000002
3.849917,10.0,3.406,0.0,True,None,FB0000021D000002
3.903352,10.0,3.41,0.085,True,None,FB0000021D000002
3.956926,10.0,3.406,-0.085,True,None,FB0000021D000002
4.014033,0.0,3.418,0.254,True,None,FB0000021D000002
