t_s,can_id,angle_deg,velocity_deg_s,armed,fault_code,foc_valid,output_cal_valid
0.030843,406,-0.085,,,,,
0.030906,416,-0.085,-0.338,,,,
0.077866,406,-0.076,-0.338,,,,
0.077923,416,-0.076,0.169,,,,
0.129373,406,-0.080,0.169,,,,
0.129421,416,-0.080,-0.084,,,,
0.129430,5F6,-0.080,-0.084,0,0,1,1
0.129451,426,-0.080,-0.084,0,0,1,1
0.129490,436,-0.080,-0.084,0,0,1,1
0.180977,406,-0.089,-0.084,0,0,1,1
0.181024,416,-0.089,-0.169,0,0,1,1
0.227242,406,-0.080,-0.169,0,0,1,1
0.227276,416,-0.080,0.169,0,0,1,1
0.278686,406,-0.093,0.169,0,0,1,1
0.278715,416,-0.093,-0.254,0,0,1,1
0.330040,406,-0.080,-0.254,0,0,1,1
0.330066,416,-0.080,0.254,0,0,1,1
0.381456,406,-0.085,0.254,0,0,1,1
0.381483,416,-0.085,-0.085,0,0,1,1
0.427971,406,-0.076,-0.085,0,0,1,1
0.428025,416,-0.076,0.169,0,0,1,1
0.479234,406,-0.085,0.169,0,0,1,1
0.479270,416,-0.085,-0.169,0,0,1,1
0.530618,406,-0.085,-0.169,0,0,1,1
0.530652,416,-0.085,0.000,0,0,1,1
0.582110,406,-0.089,0.000,0,0,1,1
0.582144,416,-0.089,-0.084,0,0,1,1
0.629103,406,-0.089,-0.084,0,0,1,1
0.629233,416,-0.089,0.000,0,0,1,1
0.629252,5F6,-0.089,0.000,0,0,1,1
0.629287,426,-0.089,0.000,0,0,1,1
0.629308,436,-0.089,0.000,0,0,1,1
0.682017,406,-0.080,0.000,0,0,1,1
0.682169,416,-0.080,0.169,0,0,1,1
1.753687,5F6,-0.080,0.169,1,0,1,1
1.753740,426,-0.080,0.169,1,0,1,1
1.753754,436,-0.080,0.169,1,0,1,1
1.753762,406,-0.080,0.169,1,0,1,1
1.753775,416,-0.080,0.000,1,0,1,1
1.805636,406,-0.046,0.000,1,0,1,1
1.805712,416,-0.046,0.676,1,0,1,1
1.852414,406,0.004,0.676,1,0,1,1
1.852456,416,0.004,1.014,1,0,1,1
1.904315,406,0.093,1.014,1,0,1,1
1.904359,416,0.093,1.775,1,0,1,1
1.956052,406,0.169,1.775,1,0,1,1
1.956111,416,0.169,1.521,1,0,1,1
2.002456,406,0.270,1.521,1,0,1,1
2.002510,416,0.270,2.028,1,0,1,1
2.054015,406,0.389,2.028,1,0,1,1
2.054063,416,0.389,2.366,1,0,1,1
2.105988,406,0.558,2.366,1,0,1,1
2.106056,416,0.558,3.380,1,0,1,1
2.153162,406,0.744,3.380,1,0,1,1
2.153211,416,0.744,3.718,1,0,1,1
2.206046,406,0.934,3.718,1,0,1,1
2.206121,416,0.934,3.803,1,0,1,1
2.253221,406,1.141,3.803,1,0,1,1
2.253274,416,1.141,4.141,1,0,1,1
2.253286,5F6,1.141,4.141,1,0,1,1
2.253303,426,1.141,4.141,1,0,1,1
2.253316,436,1.141,4.141,1,0,1,1
2.305147,406,1.365,4.141,1,0,1,1
2.305203,416,1.365,4.479,1,0,1,1
2.352435,406,1.568,4.479,1,0,1,1
2.352495,416,1.568,4.057,1,0,1,1
2.405486,406,1.787,4.057,1,0,1,1
2.405571,416,1.787,4.395,1,0,1,1
2.452968,406,1.999,4.395,1,0,1,1
2.453040,416,1.999,4.225,1,0,1,1
2.505859,406,2.210,4.225,1,0,1,1
2.505927,416,2.210,4.226,1,0,1,1
2.553343,406,2.430,4.226,1,0,1,1
2.553407,416,2.430,4.395,1,0,1,1
2.606587,406,2.649,4.395,1,0,1,1
2.606635,416,2.649,4.395,1,0,1,1
2.654312,406,2.869,4.395,1,0,1,1
2.654386,416,2.869,4.395,1,0,1,1
2.707186,406,3.085,4.395,1,0,1,1
2.707254,416,3.085,4.310,1,0,1,1
2.754474,406,3.292,4.310,1,0,1,1
2.754523,416,3.292,4.141,1,0,1,1
2.754535,5F6,3.292,4.141,1,0,1,1
2.754579,426,3.292,4.141,1,0,1,1
2.754593,436,3.292,4.141,1,0,1,1
2.806704,406,3.499,4.141,1,0,1,1
