t_s,can_id,angle_deg,velocity_deg_s,armed,fault_code,foc_valid,output_cal_valid
0.00012599299998328206,406,0.004,,,,,
0.00017363400002068374,416,0.004,0.085,,,,
0.05336646699993253,406,-0.004,0.085,,,,
0.053456266000011965,416,-0.004,-0.169,,,,
0.10127544700003455,406,0.000,-0.169,,,,
0.10136040999987017,416,0.000,0.084,,,,
0.15474843799984228,406,0.008,0.084,,,,
0.15483470399999533,416,0.008,0.169,,,,
0.20273114899987377,406,0.000,0.169,,,,
0.20281507699996837,416,0.000,-0.169,,,,
0.25069641799996134,406,-0.013,-0.169,,,,
0.25077710799996566,416,-0.013,-0.254,,,,
0.30400893699993503,5F6,-0.013,-0.254,0,0,1,1
0.30411211699993146,426,-0.013,-0.254,0,0,1,1
0.30418796399999337,436,-0.013,-0.254,0,0,1,1
0.3042030619999423,406,0.004,-0.254,0,0,1,1
0.3042229129998759,416,0.004,0.338,0,0,1,1
0.35221529399996143,406,0.000,0.338,0,0,1,1
0.3523018669998237,416,0.000,-0.085,0,0,1,1
0.4044649379998191,406,0.000,-0.085,0,0,1,1
0.4046048709999468,416,0.000,0.000,0,0,1,1
0.4523845819999224,406,0.013,0.000,0,0,1,1
0.45247189599990634,416,0.013,0.254,0,0,1,1
0.50038491600003,406,0.004,0.254,0,0,1,1
0.5004649499999232,416,0.004,-0.169,0,0,1,1
0.5532912649998707,406,0.008,-0.169,0,0,1,1
0.5533783889998176,416,0.008,0.084,0,0,1,1
0.6013404839998202,406,0.000,0.084,0,0,1,1
0.6014295069999207,416,0.000,-0.169,0,0,1,1
0.6544105880000188,406,0.008,-0.169,0,0,1,1
0.6545076069999141,416,0.008,0.169,0,0,1,1
0.7023194319999675,406,-0.004,0.169,0,0,1,1
0.7024046569999882,416,-0.004,-0.254,0,0,1,1
1.7554520070000308,5F6,-0.004,-0.254,1,0,1,1
1.7555729559999236,426,-0.004,-0.254,1,0,1,1
1.7556006620000062,436,-0.004,-0.254,1,0,1,1
1.7556135519998861,406,0.004,-0.254,1,0,1,1
1.7556358429999364,416,0.004,0.008,1,0,1,1
1.8039473530000123,406,0.021,0.008,1,0,1,1
1.8040909819999342,416,0.021,0.338,1,0,1,1
1.8523498609999933,406,0.085,0.338,1,0,1,1
1.8524562630000219,416,0.085,1.268,1,0,1,1
1.9063259790000302,406,0.123,1.268,1,0,1,1
1.9064228489999095,416,0.123,0.761,1,0,1,1
1.9544579159999103,406,0.173,0.761,1,0,1,1
1.954559693999954,416,0.173,1.014,1,0,1,1
2.003066448000027,406,0.249,1.014,1,0,1,1
2.0032146239998383,416,0.249,1.521,1,0,1,1
2.0567514599999868,406,0.313,1.521,1,0,1,1
2.0568507559999034,416,0.313,1.268,1,0,1,1
2.105256289999943,406,0.410,1.268,1,0,1,1
2.105356588999939,416,0.410,1.944,1,0,1,1
2.1532573059998867,406,0.545,1.944,1,0,1,1
2.153361154999857,416,0.545,2.704,1,0,1,1
2.2019784110000273,406,0.714,2.704,1,0,1,1
2.2021024759999364,416,0.714,3.380,1,0,1,1
2.2555510749998575,406,0.892,3.380,1,0,1,1
2.255654600999833,416,0.892,3.549,1,0,1,1
2.255674397999883,5F6,0.892,3.549,1,0,1,1
2.255748586999971,426,0.892,3.549,1,0,1,1
2.255769164999947,436,0.892,3.549,1,0,1,1
2.303951922999886,406,1.065,3.549,1,0,1,1
2.304059104999851,416,1.065,3.465,1,0,1,1
2.3523057529998823,406,1.268,3.465,1,0,1,1
2.352385925999897,416,1.268,4.057,1,0,1,1
2.405774939999901,406,1.462,4.057,1,0,1,1
2.4058779659999345,416,1.462,3.887,1,0,1,1
2.4538056059998326,406,1.665,3.887,1,0,1,1
2.4538807649998944,416,1.665,4.056,1,0,1,1
2.501978782999913,406,1.859,4.056,1,0,1,1
2.50205727499997,416,1.859,3.887,1,0,1,1
2.5550026809999054,406,2.058,3.887,1,0,1,1
2.55509640199989,416,2.058,3.972,1,0,1,1
2.6032908149998093,406,2.235,3.972,1,0,1,1
2.603392789999816,416,2.235,3.549,1,0,1,1
2.656821033999904,406,2.442,3.549,1,0,1,1
2.656920608999826,416,2.442,4.141,1,0,1,1
2.7048879159999615,406,2.662,4.141,1,0,1,1
2.705046010999922,416,2.662,4.395,1,0,1,1
2.7530343260000336,406,2.869,4.395,1,0,1,1
2.753171502999976,416,2.869,4.141,1,0,1,1
2.7531959629998255,5F6,2.869,4.141,1,0,1,1
2.753223014000014,426,2.869,4.141,1,0,1,1
2.7532931910000116,436,2.869,4.141,1,0,1,1
2.807021801000019,406,3.072,4.141,1,0,1,1
2.8071251379999467,416,3.072,4.056,1,0,1,1
2.855262706999838,406,3.279,4.056,1,0,1,1
2.855356864999976,416,3.279,4.141,1,0,1,1
2.9037513219998345,406,3.452,4.141,1,0,1,1
2.9038533059999736,416,3.452,3.465,1,0,1,1
2.952056242000026,406,3.617,3.465,1,0,1,1
2.9521307620000243,416,3.617,3.296,1,0,1,1
3.0055842479998773,406,3.790,3.296,1,0,1,1
3.005693835999864,416,3.790,3.465,1,0,1,1
3.054098778000025,406,3.930,3.465,1,0,1,1
3.0542372699999305,416,3.930,2.789,1,0,1,1
3.102478796000014,406,4.061,2.789,1,0,1,1
3.1025570069998594,416,4.061,2.620,1,0,1,1
3.1564986549999503,406,4.065,2.620,1,0,1,1
3.156583724000029,416,4.065,0.085,1,0,1,1
3.2050893260000066,406,4.061,0.085,1,0,1,1
3.2052200670000275,416,4.061,-0.085,1,0,1,1
3.2534196299998257,406,4.069,-0.085,1,0,1,1
3.253514113999927,416,4.069,0.169,1,0,1,1
3.2535340289998658,5F6,4.069,0.169,1,0,1,1
3.2535651260000122,426,4.069,0.169,1,0,1,1
3.253584137999951,436,4.069,0.169,1,0,1,1
3.3072899239998605,406,4.065,0.169,1,0,1,1
3.307386881999946,416,4.065,-0.084,1,0,1,1
3.3555515559999094,406,4.065,-0.084,1,0,1,1
3.3556525629999214,416,4.065,0.000,1,0,1,1
3.4041963919999034,406,4.069,0.000,1,0,1,1
3.4043041139998422,416,4.069,0.084,1,0,1,1
3.4530193059999874,406,4.069,0.084,1,0,1,1
3.453091663999885,416,4.069,0.000,1,0,1,1
3.5067906409999523,406,4.065,0.000,1,0,1,1
3.5069582269998136,416,4.065,-0.084,1,0,1,1
3.5552545680000094,406,4.061,-0.084,1,0,1,1
3.5553550889999315,416,4.061,-0.085,1,0,1,1
3.6038483929999074,406,4.065,-0.085,1,0,1,1
3.603929325999843,416,4.065,0.085,1,0,1,1
3.652253055999836,406,4.056,0.085,1,0,1,1
3.65235685499988,416,4.056,-0.169,1,0,1,1
3.7061411309998675,406,4.061,-0.169,1,0,1,1
3.7063004999999976,416,4.061,0.084,1,0,1,1
3.754522909999878,406,4.069,0.084,1,0,1,1
3.754605632999983,416,4.069,0.169,1,0,1,1
3.7546283919998586,5F6,4.069,0.169,1,0,1,1
3.7546604479998678,426,4.069,0.169,1,0,1,1
3.754691408999861,436,4.069,0.169,1,0,1,1
3.803062101000023,406,4.073,0.169,1,0,1,1
3.8031914739999593,416,4.073,0.085,1,0,1,1
3.8568471159999262,406,4.056,0.085,1,0,1,1
3.856952755999828,416,4.056,-0.338,1,0,1,1
3.9054991559999053,406,4.052,-0.338,1,0,1,1
3.9055807079998885,416,4.052,-0.085,1,0,1,1
3.954357848999962,406,3.997,-0.085,1,0,1,1
3.95443149599987,416,3.997,-1.099,1,0,1,1
