t_s,target_deg_s,velocity_deg_s,diag
0.20293853700059117,0.0,,
0.2557209589976992,0.0,,
0.3072577700004331,0.0,0.085,FB0000021D000000
0.35883455599832814,0.0,0.169,FB0000021D000000
0.41160103299989714,0.0,0.169,FB0000021D000000
0.4629836770000111,0.0,-0.169,FB0000021D000000
0.5147430170000007,0.0,-0.169,FB0000021D000000
0.566158670000732,0.0,0.169,FB0000021D000000
0.6192241069984448,0.0,-0.084,FB0000021D000000
0.6719913519991678,0.0,-0.085,FB0000021D000000
0.725529331000871,10.0,0.085,FB0000021D000000
0.777484694001032,10.0,-0.085,FB0000021D000000
0.8813440710000577,10.0,0.254,FB0000021D000000
0.9340916679975635,10.0,0.254,FB0000021D000000
0.9862319019994175,10.0,0.254,FB0000021D000000
1.039469019000535,10.0,0.254,FB0000021D000000
1.143468758000381,10.0,0.254,FB0000021D000000
1.2462687629995344,10.0,0.254,FB0000021D000000
1.3504398340010084,10.0,0.254,FB0000021D000000
1.4556712160010647,10.0,0.254,FB0000021D000000
1.5077524929984065,10.0,0.254,FB0000021D000000
1.61272260899932,10.0,0.254,FB0000021D000000
1.6649742150002567,10.0,0.254,FB0000021D000000
1.7689309979978134,10.0,0.254,FB0000021D000000
1.8209252919987193,10.0,0.254,FB0000021D000000
1.8726277360001404,10.0,0.254,FB0000021D000002
1.9244585480009846,10.0,-0.008,FB0000021D000002
1.9764878589994623,10.0,-0.084,FB0000021D000002
2.028571668997756,10.0,-0.338,FB0000021D000002
2.0804033639979025,10.0,-0.169,FB0000021D000002
2.132204969999293,10.0,-0.169,FB0000021D000002
2.184191534001002,10.0,-0.507,FB0000021D000002
2.2359980090004683,10.0,-0.761,FB0000021D000002
2.287641030998202,10.0,-0.93,FB0000021D000002
2.3397176949983987,10.0,-1.437,FB0000021D000002
2.391580833998887,10.0,-2.282,FB0000021D000002
2.4437735280007473,10.0,-3.972,FB0000021D000002
2.4961532829984208,10.0,-4.141,FB0000021D000002
2.547855038999842,10.0,-4.057,FB0000021D000002
2.600082458000543,10.0,-4.141,FB0000021D000002
2.6520326179997937,10.0,-4.31,FB0000021D000002
2.7038498379988596,10.0,-2.958,FB0000021D000002
2.755829747999087,10.0,-2.704,FB0000021D000002
2.8077809899987187,10.0,-2.958,FB0000021D000002
2.859730366999429,10.0,-2.366,FB0000021D000002
2.9118518529976427,10.0,-2.282,FB0000021D000002
2.963940015000844,10.0,-1.268,FB0000021D000002
3.0165223459989647,10.0,-1.268,FB0000021D000002
3.0685953379979765,10.0,-1.775,FB0000021D000002
3.1218890700001793,10.0,-1.69,FB0000021D000002
3.174220688000787,10.0,-1.69,FB0000021D000002
3.2261253649994615,10.0,-0.676,FB0000021D000002
3.2780722719980986,10.0,-0.254,FB0000021D000002
3.331186802999582,10.0,-0.254,FB0000021D000002
3.3837823260000732,10.0,0.0,FB0000021D000002
3.436211022999487,10.0,-0.169,FB0000021D000002
3.4897065379991545,10.0,0.169,FB0000021D000002
3.541943447999074,10.0,-0.169,FB0000021D000002
3.593793536998419,10.0,-0.169,FB0000021D000002
3.645653653999034,10.0,-0.169,FB0000021D000002
3.6985547429976577,10.0,0.0,FB0000021D000002
3.750316408000799,0.0,-0.253,FB0000021D000002
3.8031917219996103,0.0,-0.254,FB0000021D000002
3.855381232999207,0.0,-0.254,FB0000021D000002
3.90780372700101,0.0,0.254,FB0000021D000002
3.960935191000317,0.0,-0.254,FB0000021D000002
4.013987898000778,0.0,0.169,FB0000021D000002
4.067045537998638,0.0,0.0,FB0000021D000002
4.120133291999082,0.0,0.0,FB0000021D000002
4.172937260998879,0.0,0.0,FB0000021D000002
4.224844955999288,0.0,0.0,FB0000021D000002
4.276622363999195,0.0,0.0,FB0000021D000002
4.3297271949995775,0.0,0.0,FB0000021D000002
4.381844276998891,0.0,-0.085,FB0000021D000002
4.43395674400017,0.0,0.085,FB0000021D000002
4.4858612719981465,0.0,-0.169,FB0000021D000002
4.5387698669983365,0.0,0.169,FB0000021D000002
4.591814298997633,0.0,-0.169,FB0000021D000002
4.64385162599865,0.0,0.254,FB0000021D000002
4.695930563000729,0.0,-0.254,FB0000021D000002
4.747860807998222,0.0,-0.085,FB0000021D000002
4.800700600997516,0.0,0.0,FB0000021D000002
4.853561765998165,0.0,0.0,FB0000021D000002
4.906386728998768,0.0,-0.084,FB0000021D000002
4.959298006000608,0.0,-0.084,FB0000021D000002
5.012128759000916,0.0,0.0,FB0000021D000002
5.064984202999767,0.0,0.254,FB0000021D000002
5.117348289997608,0.0,-0.085,FB0000021D000002
5.170296656000573,0.0,-0.169,FB0000021D000002
5.221790599000087,0.0,-0.084,FB0000021D000002
5.274728542997764,-10.0,0.169,FB0000021D000002
5.326156936000189,-10.0,0.084,FB0000021D000002
5.377561058998253,-10.0,-0.085,FB0000021D000002
